id,category,index,text
187000001,187,1,"報酬獲得量UP"
188000001,188,1,"育成中に獲得できる対象アイテムの量が2倍になります"
4000001,4,100101,"[スペシャルドリーマー]スペシャルウィーク"
4000002,4,100201,"[サイレントイノセンス]サイレンススズカ"
4000003,4,100301,"[トップ・オブ・ジョイフル]トウカイテイオー"
4000004,4,100401,"[フォーミュラオブルージュ]マルゼンスキー"
4000005,4,100601,"[スターライトビート]オグリキャップ"
4000006,4,100701,"[レッドストライフ]ゴールドシップ"
4000007,4,100801,"[ワイルドトップギア]ウオッカ"
4000008,4,100901,"[トップ・オブ・ブルー]ダイワスカーレット"
4000009,4,101001,"[ワイルド・フロンティア]タイキシャトル"
4000010,4,101101,"[岩穿つ青]グラスワンダー"
4000011,4,101301,"[エレガンス・ライン]メジロマックイーン"
4000012,4,101401,"[エル☆Numero.1]エルコンドルパサー"
4000013,4,101701,"[ロード・オブ・エンペラー]シンボリルドルフ"
4000014,4,101801,"[エンプレスロード]エアグルーヴ"
4000015,4,102401,"[すくらんぶる☆ゾーン]マヤノトップガン"
4000016,4,102701,"[ストレート・ライン]メジロライアン"
4000017,4,103001,"[ローゼスドリーム]ライスシャワー"
4000018,4,103201,"[tach-nology]アグネスタキオン"
4000019,4,103501,"[Go To Winning!]ウイニングチケット"
4000020,4,104101,"[サクラ、すすめ！]サクラバクシンオー"
4000021,4,104501,"[マーマリングストリーム]スーパークリーク"
4000022,4,105201,"[うららん一等賞♪]ハルウララ"
4000023,4,105601,"[運気上昇☆幸福万来]マチカネフクキタル"
4000024,4,106001,"[ポインセチア・リボン]ナイスネイチャ"
4000025,4,106101,"[キング・オブ・エメラルド]キングヘイロー"
5000001,5,100101,"[スペシャルドリーマー]"
5000002,5,100201,"[サイレントイノセンス]"
5000003,5,100301,"[トップ・オブ・ジョイフル]"
5000004,5,100401,"[フォーミュラオブルージュ]"
5000005,5,100601,"[スターライトビート]"
5000006,5,100701,"[レッドストライフ]"
5000007,5,100801,"[ワイルドトップギア]"
5000008,5,100901,"[トップ・オブ・ブルー]"
5000009,5,101001,"[ワイルド・フロンティア]"
5000010,5,101101,"[岩穿つ青]"
5000011,5,101301,"[エレガンス・ライン]"
5000012,5,101401,"[エル☆Numero.1]"
5000013,5,101701,"[ロード・オブ・エンペラー]"
5000014,5,101801,"[エンプレスロード]"
5000015,5,102401,"[すくらんぶる☆ゾーン]"
5000016,5,102701,"[ストレート・ライン]"
5000017,5,103001,"[ローゼスドリーム]"
5000018,5,103201,[tach-nology]
5000019,5,103501,"[Go To Winning!]"
5000020,5,104101,"[サクラ、すすめ！]"
5000021,5,104501,"[マーマリングストリーム]"
5000022,5,105201,"[うららん一等賞♪]"
5000023,5,105601,"[運気上昇☆幸福万来]"
5000024,5,106001,"[ポインセチア・リボン]"
5000025,5,106101,"[キング・オブ・エメラルド]"
6000001,6,1001,"スペシャルウィーク"
6000002,6,1002,"サイレンススズカ"
6000003,6,1003,"トウカイテイオー"
6000004,6,1004,"マルゼンスキー"
6000005,6,1005,"フジキセキ"
6000006,6,1006,"オグリキャップ"
6000007,6,1007,"ゴールドシップ"
6000008,6,1008,"ウオッカ"
6000009,6,1009,"ダイワスカーレット"
6000010,6,1010,"タイキシャトル"
6000011,6,1011,"グラスワンダー"
